ParName   Value   Gradient
MGparm[1]     0.192971 -7.92235e-07
SR_parm[1]      10.2017 -7.97832e-06
recdev2(1958)   -0.0531694 -2.15043e-06
recdev2(1959)   -0.0622474 -1.08203e-06
recdev2(1960)   -0.0727067 -9.71965e-07
recdev2(1961)   -0.0826526 -8.65985e-07
recdev2(1962)   -0.0870386 -1.04948e-06
recdev2(1963)   -0.0891016 -1.53274e-06
recdev2(1964)    -0.100303 -2.15544e-06
recdev2(1965)   -0.0902553 -8.70608e-07
recdev2(1966)   -0.0786401   3.1006e-06
recdev2(1967)   -0.0695798  2.52341e-06
recdev2(1968)   -0.0367652 -3.70477e-07
recdev2(1969)   -0.0430935  3.08846e-06
recdev2(1970)   -0.0435537  2.71504e-06
recdev2(1971)   -0.0430971  3.29094e-06
recdev2(1972)   -0.0606845  3.47479e-06
recdev2(1973)   -0.0881174  6.73742e-06
recdev2(1974)    -0.102913  1.31516e-06
recdev2(1975)    -0.171574  8.13387e-06
recdev2(1976)    -0.168073  7.72362e-06
recdev2(1977)    -0.118384  3.49018e-06
recdev2(1978)    -0.101303  4.79319e-06
recdev2(1979)   -0.0246644 -3.27727e-06
recdev2(1980)     0.123832 -4.09598e-06
recdev2(1981)     0.299803  4.24897e-06
recdev2(1982)     0.548933 -1.43188e-06
recdev2(1983)     0.145534   1.3477e-05
recdev2(1984)     0.437605 -1.45589e-09
recdev2(1985)      0.45614  3.20224e-05
recdev2(1986)     0.862913 -5.38404e-05
recdev2(1987)     0.438505 -9.13708e-06
recdev2(1988)     0.621114  3.81091e-06
recdev2(1989)     0.861284  -9.7687e-06
recdev2(1990)     0.274807  8.63957e-06
recdev2(1991)     0.444788 -2.58563e-05
recdev2(1992)   -0.0205498  1.39749e-05
recdev2(1993)     0.190931 -1.12128e-05
recdev2(1994)    -0.388374  2.03651e-05
recdev2(1995)    -0.382965  1.79136e-05
recdev2(1996)    -0.152061  1.22225e-06
recdev2(1997)    -0.259693  2.23446e-05
recdev2(1998)      0.29255  9.46705e-06
recdev2(1999)    -0.438578 -2.74428e-05
recdev2(2000)    -0.401033 -5.25239e-05
recdev2(2001)    -0.426262  2.16404e-05
recdev2(2002)    -0.454358  2.12556e-05
recdev2(2003)    -0.246501  1.44732e-05
recdev2(2004)   -0.0622723 -4.30803e-05
recdev2(2005)    -0.401233   6.9836e-05
recdev2(2006)    -0.308269  3.84434e-05
recdev2(2007)    -0.105336 -1.08482e-05
recdev2(2008)     0.314484  -4.4599e-06
recdev2(2009)    -0.116212  4.76062e-06
recdev2(2010)    -0.067095  1.78968e-06
recdev2(2011)   -0.0252988   1.1001e-06
recdev2(2012)  -0.00577037 -1.85901e-06
Fcast_recruitments(2013)            0 -1.90281e-18
Fcast_recruitments(2014)            0 -8.11529e-19
Fcast_recruitments(2015)            0 -2.82769e-19
Fcast_recruitments(2016)            0 -6.21665e-20
Fcast_recruitments(2017)            0  -8.2259e-21
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Q_parm[1]     -12.6758 -2.08243e-05
Q_parm[2]      -2.6323 -1.87886e-05
selparm[1]      4.99949 -5.26884e-07
selparm[2]       2.7028  -1.6435e-06
selparm[3]      4.99992 -3.97213e-06
selparm[4]      2.71658  2.07265e-06
