ParName   Value   Gradient
MGparm[1]     0.328437 -1.98611e-05
SR_parm[1]      10.4899  7.11512e-05
recdev2(1998)    -0.455276  4.75041e-05
recdev2(1999)    -0.754769 -2.60485e-06
recdev2(2000)    -0.859043  9.61129e-06
recdev2(2001)    -0.779867   3.0553e-05
recdev2(2002)    -0.713787  3.87363e-05
recdev2(2003)    -0.579383 -4.21121e-07
recdev2(2004)    -0.271832 -2.63418e-05
recdev2(2005)    -0.298288 -2.24577e-05
recdev2(2006)   -0.0340649 -5.68764e-05
recdev2(2007)    -0.153186  2.62506e-05
recdev2(2008)    -0.212856  2.71223e-05
recdev2(2009)   -0.0388732  7.92149e-06
recdev2(2010)     -0.07505 -1.12486e-05
recdev2(2011)    -0.032905 -5.14592e-06
recdev2(2012)   0.00491969  5.53614e-07
Fcast_recruitments(2013)            0 -3.89428e-17
Fcast_recruitments(2014)            0 -3.07932e-18
Fcast_recruitments(2015)            0 -1.11466e-18
Fcast_recruitments(2016)            0 -1.13864e-19
Fcast_recruitments(2017)            0 -6.11549e-21
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Q_parm[1]     -12.6065  3.43444e-06
Q_parm[2]    -0.714921   4.1802e-05
selparm[1]      3.28475 -4.92529e-06
selparm[2]      1.34417  6.19377e-06
selparm[3]      1.52121  2.13007e-05
selparm[4]      1.60662 -8.84006e-06
