ParName   Value   Gradient
SR_parm[1]      13.5389  5.65893e-05
recdev2(1987)  -0.00360476 -3.87003e-06
recdev2(1988)   -0.0213349 -8.41469e-06
recdev2(1989)    -0.424367 -2.25374e-06
recdev2(1990)       1.3233 -1.68224e-05
recdev2(1991)    0.0761513 -4.34618e-06
recdev2(1992)    0.0398017 -9.60448e-06
recdev2(1993)    0.0735222 -6.81168e-06
recdev2(1994)    -0.168769  1.20721e-06
recdev2(1995)    -0.157751 -1.39678e-05
recdev2(1996)    -0.303408 -5.06192e-07
recdev2(1997)    -0.811083  1.97212e-05
recdev2(1998)    -0.633371 -2.42773e-05
recdev2(1999)    -0.690431  9.66432e-06
recdev2(2000)    -0.675674 -2.68535e-05
recdev2(2001)    -0.646245  1.41442e-06
recdev2(2002)    -0.719598   9.9029e-06
recdev2(2003)    -0.444106  1.99478e-05
recdev2(2004)    -0.151488 -1.38498e-05
recdev2(2005)     0.119685  4.29744e-06
recdev2(2006)     0.190218  1.27986e-05
recdev2(2007)     0.448051   1.2797e-05
recdev2(2008)     0.485945   2.0664e-05
recdev2(2009)     0.518155  2.18488e-05
recdev2(2010)     0.787249 -1.34225e-05
recdev2(2011)     0.602244  5.20652e-07
recdev2(2012)     0.512874 -8.55505e-06
recdev2(2013)     0.489027  1.07541e-05
recdev2(2014)     0.472205 -4.38717e-06
recdev2(2015)     0.750442  2.28202e-06
recdev2(2016)     0.441384   3.4159e-05
recdev2(2017)     0.167579  1.60715e-05
recdev2(2018)      -1.6466 -8.76798e-06
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Q_parm[1]          -15  1.01266e-05
Q_parm[2]     -2.60214   9.1968e-05
Q_parm[3]      -3.0228  1.17562e-05
selparm[1]     -49.9982  1.11702e-07
selparm[2] -6.00433e-10  4.57101e-06
selparm[3] -0.000947592  1.94727e-08
selparm[4]       -2.999 -6.22948e-07
selparm[5]     -2.97862 -1.81959e-08
selparm[6]     0.165025 -6.55247e-05
selparm[7]     0.185376  6.18524e-05
selparm[8]     0.338368  -1.2843e-05
selparm[9]     0.151491  1.90811e-05
