ParName   Value   Gradient
MGparm[2]      21.6535 -3.24361e-06
MGparm[3]      71.6493 -1.78792e-06
MGparm[4]     0.147297 -1.04397e-06
MGparm[15]      69.5362  -2.2617e-06
MGparm[16]     0.163533 -7.97158e-07
SR_parm[1]      8.81505 -1.23177e-06
SR_parm[2]     0.614248  3.73736e-07
recdev1(1971)       0.1268   -5.865e-07
recdev1(1972)   -0.0629442   -2.484e-07
recdev1(1973)    0.0998014  6.20475e-07
recdev1(1974)    -0.174095  6.45268e-07
recdev1(1975)    0.0306484 -1.66891e-07
recdev1(1976)     0.714818  3.47601e-07
recdev1(1977)   -0.0228752 -3.61659e-07
recdev1(1978)   0.00379775 -3.82958e-07
recdev1(1979)     0.261267  -7.6237e-08
recdev1(1980)     0.173626  1.76695e-07
recdev1(1981)    0.0900049 -1.75588e-07
recdev1(1982)    -0.226622  -5.5114e-07
recdev1(1983)    -0.439888 -1.61281e-07
recdev1(1984)    -0.312088  3.92313e-07
recdev1(1985)     0.393112  1.89467e-07
recdev1(1986)     0.551725  6.19149e-07
recdev1(1987)      0.21891  1.72171e-07
recdev1(1988)     0.154932  1.47941e-07
recdev1(1989)    -0.384786 -1.32644e-07
recdev1(1990)     0.596744  1.70639e-07
recdev1(1991)    -0.682432 -1.20484e-08
recdev1(1992)    -0.273424 -7.32917e-07
recdev1(1993)    -0.829665 -1.96675e-07
recdev1(1994)     0.365024  5.83385e-08
recdev1(1995)    -0.605267  3.07143e-07
recdev1(1996)     0.455103  3.65792e-07
recdev1(1997)      1.11072 -1.60762e-08
recdev1(1998)    -0.546499 -1.44224e-07
recdev1(1999)    -0.656469  -1.7948e-07
recdev1(2000)     0.171606 -9.63416e-08
recdev1(2001)    -0.301581  3.62809e-09
Fcast_recruitments(2002)            0            0
Fcast_recruitments(2003)            0            0
Fcast_recruitments(2004)            0            0
Fcast_recruitments(2005)            0            0
Fcast_recruitments(2006)            0            0
Fcast_recruitments(2007)            0            0
Fcast_recruitments(2008)            0            0
Fcast_recruitments(2009)            0            0
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
Q_parm[1]     0.516018  3.82552e-07
Q_parm[3]      -6.6281  3.16965e-07
selparm[1]      53.6411 -1.22199e-06
selparm[2]      18.9232  6.07754e-07
selparm[3]       36.653 -1.38704e-06
selparm[4]      6.59179  4.84088e-07
