ParName   Value   Gradient
MGparm[2]      21.8529  2.06179e-06
MGparm[3]      71.4765  7.06973e-06
MGparm[4]     0.148585  2.18994e-06
MGparm[15]      69.6863  7.18039e-06
MGparm[16]     0.160714  1.93202e-06
SR_parm[1]      8.87292  0.000131419
SR_parm[2]     0.618055  9.08378e-08
recdev1(1971)     0.154391  1.09992e-06
recdev1(1972)   -0.0967704  8.33759e-07
recdev1(1973)      0.11097  1.34792e-06
recdev1(1974)    -0.177913  7.66454e-07
recdev1(1975)    0.0435359   1.3488e-06
recdev1(1976)     0.710233  3.62208e-06
recdev1(1977)   -0.0124829  1.17802e-06
recdev1(1978)   0.00420339  1.15599e-06
recdev1(1979)     0.268315  1.71951e-06
recdev1(1980)     0.167603  1.32059e-06
recdev1(1981)     0.132401  9.42836e-07
recdev1(1982)    -0.226979  1.49901e-07
recdev1(1983)    -0.465158  -2.3122e-07
recdev1(1984)    -0.299982 -1.40973e-07
recdev1(1985)     0.404552  9.46004e-07
recdev1(1986)     0.578969  1.67094e-06
recdev1(1987)     0.237307   8.5467e-07
recdev1(1988)      0.15443  2.00912e-07
recdev1(1989)    -0.421159 -9.51614e-07
recdev1(1990)      0.55444 -1.59788e-06
recdev1(1991)    -0.657956 -1.28644e-06
recdev1(1992)     -0.24881 -1.18579e-06
recdev1(1993)    -0.988252 -9.41719e-07
recdev1(1994)     0.368405 -1.66941e-06
recdev1(1995)    -0.488713 -1.54468e-06
recdev1(1996)     0.416833 -2.22215e-06
recdev1(1997)      1.12389 -2.61528e-06
recdev1(1998)    -0.542959 -1.23163e-06
recdev1(1999)    -0.660661 -1.18871e-06
recdev1(2000)     0.162735 -1.13089e-06
recdev1(2001)    -0.305416 -1.12169e-06
Fcast_recruitments(2002)            0            0
Fcast_recruitments(2003)            0            0
Fcast_recruitments(2004)            0            0
Fcast_recruitments(2005)            0            0
Fcast_recruitments(2006)            0            0
Fcast_recruitments(2007)            0            0
Fcast_recruitments(2008)            0            0
Fcast_recruitments(2009)            0            0
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
selparm[1]      53.6426  5.92462e-06
selparm[2]      18.7826  -2.5912e-06
selparm[3]      38.6184 -1.45817e-06
selparm[4]      6.33614 -6.39616e-07
selparm[5]      3.71529   2.2216e-06
selparm[11]        36.66  4.39728e-07
selparm[12]      6.66614  1.28009e-08
