ParName   Value   Gradient
MGparm[2]      21.6535 -9.38856e-05
MGparm[3]      71.6493 -5.20439e-05
MGparm[4]     0.147297 -3.11153e-05
MGparm[15]      69.5362 -6.57823e-05
MGparm[16]     0.163533 -2.41581e-05
SR_parm[1]      8.81505 -4.06839e-05
SR_parm[2]     0.614248  1.49736e-05
recdev1(1971)       0.1268 -1.19646e-05
recdev1(1972)   -0.0629446 -1.78167e-05
recdev1(1973)    0.0998017  2.35813e-05
recdev1(1974)    -0.174095  2.24157e-05
recdev1(1975)    0.0306478 -1.28852e-05
recdev1(1976)     0.714819  1.44024e-05
recdev1(1977)   -0.0228755 -1.38582e-05
recdev1(1978)   0.00379767 -1.38188e-05
recdev1(1979)     0.261267  3.60154e-06
recdev1(1980)     0.173626 -6.33811e-07
recdev1(1981)     0.090005 -2.52235e-06
recdev1(1982)    -0.226622 -1.23751e-05
recdev1(1983)    -0.439888  -1.4689e-05
recdev1(1984)    -0.312088   2.1776e-05
recdev1(1985)     0.393111  1.48678e-06
recdev1(1986)     0.551725  1.87026e-05
recdev1(1987)      0.21891  7.33368e-06
recdev1(1988)     0.154932 -1.13247e-06
recdev1(1989)    -0.384786  5.87001e-06
recdev1(1990)     0.596744   1.9647e-06
recdev1(1991)    -0.682432  2.93353e-06
recdev1(1992)    -0.273424 -2.21477e-05
recdev1(1993)    -0.829665 -6.14917e-06
recdev1(1994)     0.365024  9.71621e-07
recdev1(1995)    -0.605267  9.82564e-06
recdev1(1996)     0.455103  9.45923e-06
recdev1(1997)      1.11072 -6.07659e-07
recdev1(1998)    -0.546499  -6.0554e-06
recdev1(1999)    -0.656469 -5.51266e-06
recdev1(2000)     0.171606 -3.17381e-06
recdev1(2001)    -0.301581  8.00684e-07
Fcast_recruitments(2002)            0            0
Fcast_recruitments(2003)            0            0
Fcast_recruitments(2004)            0            0
Fcast_recruitments(2005)            0            0
Fcast_recruitments(2006)            0            0
Fcast_recruitments(2007)            0            0
Fcast_recruitments(2008)            0            0
Fcast_recruitments(2009)            0            0
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
Q_parm[1]     0.516018  1.11814e-05
Q_parm[3]      -6.6281  1.61695e-05
selparm[1]      53.6411 -3.54084e-05
selparm[2]      18.9232  1.76436e-05
selparm[3]       36.653 -4.01123e-05
selparm[4]      6.59179  1.41249e-05
