ParName   Value   Gradient
SR_parm[1]      8.81744  -5.6561e-08
SR_parm[2]     0.595315 -5.15583e-10
recdev1(1971)     0.177904 -3.49056e-09
recdev1(1972)   -0.0977745  5.16355e-09
recdev1(1973)    0.0417631  1.20752e-09
recdev1(1974)     -0.30636  1.15881e-09
recdev1(1975)     0.323543  -9.5073e-10
recdev1(1976)     0.166863  7.75058e-09
recdev1(1977)     0.520225 -1.09834e-09
recdev1(1978)    -0.518331 -1.32916e-08
recdev1(1979)     0.589664  1.10702e-10
recdev1(1980)    -0.218869 -1.06828e-08
recdev1(1981)     0.160331  4.44017e-09
recdev1(1982)    -0.226304 -1.82801e-09
recdev1(1983)     -0.42619 -2.65121e-09
recdev1(1984)    -0.613983  1.57649e-08
recdev1(1985)      0.58044 -6.64876e-09
recdev1(1986)     0.401447  2.46947e-09
recdev1(1987)    0.0798448 -2.87565e-09
recdev1(1988)     0.184367 -4.20496e-09
recdev1(1989)    -0.355343 -4.50726e-09
recdev1(1990)     0.590506  7.07096e-09
recdev1(1991)    -0.608373 -2.03748e-08
recdev1(1992)    -0.111175  2.14154e-08
recdev1(1993)    -0.751971 -3.25185e-08
recdev1(1994)      0.37205  1.26899e-08
recdev1(1995)     -0.64155  -1.2808e-08
recdev1(1996)     0.874421   2.9266e-09
recdev1(1997)     0.895215  3.10698e-09
recdev1(1998)    -0.414685  1.01919e-08
recdev1(1999)    -0.679256  1.05871e-08
recdev1(2000)     0.251538  -1.3507e-08
recdev1(2001)     -0.23996  2.69805e-08
Fcast_recruitments(2002)            0            0
Fcast_recruitments(2003)            0            0
Fcast_recruitments(2004)            0            0
Fcast_recruitments(2005)            0            0
Fcast_recruitments(2006)            0            0
Fcast_recruitments(2007)            0            0
Fcast_recruitments(2008)            0            0
Fcast_recruitments(2009)            0            0
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
Q_parm[1]     0.970588 -3.75975e-09
Q_parm[3]      -6.5905 -8.83894e-09
selparm[2]      8.12464  1.00646e-08
selparm[3]       1.0328  -9.8671e-09
selparm[4]    0.0879167 -3.24592e-09
selparm[5]     0.855116  -1.2299e-08
selparm[6]        0.328 -9.70059e-09
selparm[7]    0.0962406 -1.59423e-08
selparm[8]    0.0909618 -5.97419e-09
selparm[9]   -0.0444585 -1.30896e-08
selparm[10]     0.538461 -1.83698e-08
selparm[13]      7.48899 -9.12282e-09
selparm[14]     0.639258 -9.92083e-10
selparm[15]       0.8463  5.77233e-09
selparm[16]    -0.417476   9.4945e-09
selparm[17]     0.866247 -4.91022e-09
selparm[18]     -2.30091 -1.02824e-09
selparm[19]      2.13292 -1.27234e-09
selparm[20]    -0.124955 -5.58901e-09
selparm[21]   -0.0881772  2.58872e-09
