Year,CM,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL
1990,3,,,,,,,0,0,0,0,0,3428.828019,3428.828019
1990,3.5,,,,,,,0,0,0,0,0,3428.828019,3428.828019
1990,4,,,,,,,0,0,0,0,0,44574.76425,44574.76425
1990,4.5,,,,,,,0,0,0,0,0,140581.9488,140581.9488
1990,5,,,,,,,0,0,0,0,0,174870.229,174870.229
1990,5.5,,,,,,,0,0,0,0,0,150868.4329,150868.4329
1990,6,,,,,,,0,0,0,0,0,178299.057,178299.057
1990,6.5,,,,,,,0,0,0,0,0,356598.114,356598.114
1990,7,,,,,,,0,0,0,0,0,329167.4899,329167.4899
1990,7.5,,,,,,,0,0,0,0,0,294879.2097,294879.2097
1990,8,,,,,,,0,0,0,0,0,198872.0251,198872.0251
1990,8.5,,,,,,,221.2025305,0,0,0,0,75434.21643,75655.41896
1990,9,,,,,,,442.405061,0,12455.27808,0,0,68576.56039,81474.24353
1990,9.5,,,,,,,0,0,7117.301758,0,3617.803491,54861.24831,65596.35356
1990,10,,,,,,,663.6075915,0,19572.57983,0,3617.803491,13715.31208,37569.30299
1990,10.5,,,,,,,884.810122,1730.31214,28469.20703,0,18089.01745,0,49173.34675
1990,11,,,,,,,2433.227836,0,28469.20703,0,10853.41047,3428.828019,45184.67336
1990,11.5,,,,,,,2654.430366,0,16013.92896,918.997498,36178.03491,3428.828019,59194.21975
1990,12,,,,,,,884.810122,0,7117.301758,2756.992494,25324.62444,6857.656039,42941.38485
1990,12.5,,,,,,,442.405061,865.15607,3558.650879,5513.984988,27133.52618,30859.45217,68373.17536
1990,13,,,,,,,1106.012653,865.15607,0,11946.96747,14471.21396,78863.04445,107252.3946
1990,13.5,,,,,,,5087.658202,12112.18498,3558.650879,28488.92244,9044.508727,147439.6048,205731.5301
1990,14,,,,,,,35834.80994,70077.64167,17793.2544,73519.79984,5426.705236,209158.5092,411810.7203
1990,14.5,,,,,,,68572.78446,117661.2255,48041.78687,95575.73979,43413.64189,209158.5092,582423.6877
1990,15,,,,,,,69015.18952,103818.7284,53379.76319,71681.80485,106725.203,212587.3372,617208.0261
1990,15.5,,,,,,,31410.75933,38066.86708,30248.53247,34002.90743,112151.9082,120008.9807,365889.9552
1990,16,,,,,,,11281.32906,8651.5607,21351.90527,18379.94996,52458.15062,10286.48406,122409.3797
1990,16.5,,,,,,,884.810122,1730.31214,5337.976319,4594.98749,18089.01745,6857.656039,37494.75956
1990,17,,,,,,,663.6075915,2595.46821,1779.32544,2756.992494,0,3428.828019,11224.22175
1990,17.5,,,,,,,221.2025305,865.15607,0,918.997498,1808.901745,0,3814.257844
1990,18,,,,,,,0,0,0,0,0,0,0
1990,18.5,,,,,,,0,0,0,0,0,0,0
1990,19,,,,,,,0,0,0,0,0,0,0
1991,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,3.5,0,0,0,0,0,0,0,0,0,0,0,14011.2857,14011.2857
1991,4,1664.488751,0,0,0,0,0,0,0,0,0,0,72858.68562,74523.17438
1991,4.5,34954.26378,0,0,0,5882.379565,0,0,0,0,2002.621975,0,182146.7141,224985.9794
1991,5,94875.85883,0,5778.266088,60842.52201,1960.793188,781.6823736,271.4126364,0,0,500.6554936,19845.50208,456767.9137,641624.6064
1991,5.5,224705.9814,11677.69613,109787.0557,334633.8711,27451.10464,3908.411868,271.4126364,284.2263766,0,500.6554936,59536.50625,706168.7991,1478925.721
1991,6,221377.0039,99260.41711,629831.0036,593214.5896,101961.2458,44555.8953,4614.014819,1136.905506,0,1001.310987,151547.4705,902326.7989,2750826.656
1991,6.5,191416.2064,169326.5939,1034309.63,722504.9489,190196.9393,88330.10822,55096.76519,4831.848402,0,1001.310987,104639.9201,1146123.17,3707777.441
1991,7,201403.1389,335733.7638,988083.5011,619833.193,249020.7349,143829.5567,70567.28547,19895.84636,1068.580356,500.6554936,44201.34555,899524.5417,3573662.143
1991,7.5,272976.1552,364928.0041,716504.9949,486740.1761,154902.6619,157118.1571,52382.63883,22169.65737,4630.514875,500.6554936,27964.11657,512813.0565,2773630.789
1991,8,281298.599,329894.9157,595161.4071,463924.2304,96078.86623,109435.5323,58896.5421,17906.26172,22796.38092,2002.621975,8118.614489,232587.3426,2218101.314
1991,8.5,304601.4415,332814.3397,624052.7375,387871.0778,60784.58884,129759.274,46411.56083,29559.54316,37400.31245,4005.243949,902.0682765,100881.257,2059043.445
1991,9,214719.0489,528415.7499,820513.7845,593214.5896,101961.2458,150083.0157,68395.98437,56561.04894,49510.88982,10513.76537,0,11209.02856,2605098.152
1991,9.5,223041.4927,551771.1422,993861.7672,676873.0574,137255.5232,150864.6981,76538.36347,70203.91501,87623.58917,58576.69275,0,5604.514279,3032214.755
