Zona,(All),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total,,,,,,,,,,,,,
Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,107506,127382,175666,85167,24574,25521,21046,23973,14575,29342,42583,61475,738810,,,37%,,,,,,,,,,
1992,179608,106839,132987,88498,25699,951,23851,7116,5838,3373,22895,36820,634475,,,41%,,,,,,,,,,
1993,64890,91248,31502,36281,35413,5883,9296,4921,4166,5004,33827,47451,369882,,,56%,,,,,,,,,,
1994,99141,142489,161075,78422,51018,26926,17592,19116,7236,41529,49873,54734,749151,,,63%,,,,,,,,,,
1995,56442,78674,23950,11312,15030,4378,4089,1101,10915,47798,17152,162790,433631,,,59%,,,,,,,,,,
1996,196314,226294,146803,62576,32625,22654,24210,17392,57550,73140,25283,73519,958360,,,38%,,,,,,,,,,
1997,158041,125713,207257,99641,62196,17301,8196,9680,16310,15511,13357,54,733257,,,40%,,,,,,,,,,
1998,54112,57273,66593,60439,43127,57489,32511,36674,48459,48337,57881,11975,574870,,,48%,,,,,,,,,,
1999,195201,288585,352873,219573,255061,106370,27135,474,26404,112796,42325,6046,1632843,,,54%,,,,,,,,,,
2000,137515,355612,291584,142627,70342,25789,2811,43,17793,18749,20361,8309,1091535,,,40%,,,,,,,,,,
2001,101588,86629,108425,62539,13541,4894,754,4,3174,21272,15164,6550,424534,,,34%,,,,,,,,,,
2002,106383,154334,101836,70480,33967,9593,3194,223,16827,24364,4503,1316,527020,,,45%,,,,,,,,,,
2003,26001,61996,155117,137094,49031,19536,12257,1543,53352,15477,4486,2432,538322,,,52%,,,,,,,,,,
2004,155,184459,153459,155438,53804,6155,7709,935,15775,18832,14079,9725,620525,,,53%,,,,,,,,,,
2005,40,170571,127917,124412,71446,20831,10817,577,28415,38615,11240,1136,606017,,,65%,,,,,,,,,,
2006,900,107824,175046,118968,100658,17657,8581,1559,55039,77160,44102,6263,713757,,,49%,,,,,,,,,,
2007,42,85204,263506,209636,92205,12392,7599,3515,28290,79902,40466,11171,833928,,,67%,,,,,,,,,,
2008,93,147489,290832,243880,178753,77505,14876,382,437,134442,43163,27425,1159277,,,33%,,,,,,,,,,
2009,83,87673,378556,247196,99009,51148,114708,39128,1254,131074,78780,35954,1264563,,,34%,,,,,,,,,,
2010,16.832,20516.151,91136.206,246596.246,100968.883,9657.632,14063.666,19806.843,1800.032,37081.621,66926.532,42756.198,651326.842,,,20%,,,,,,,,,,
2011,11.002,20382.989,313306.664,202837.778,59230.768,20550.112,16115.119,17021.357,846.637,42079.669,58780.98,14625.138,765788.213,,,12%,,,,,,,,,,
2012,20.05,12950,231753.243,189987.443,51830.963,14613.237,36653.215,10191.791,1131.349,42855.255,50161.475,43660.496,685808.517,,,9%,,,,,,,,,,
2013,18,10370,88427,29776,22607,12858,34082,3,13,14022,36247,26840,275263,,,15%,,,,,,,,,,
2014,36,16460,201389,141448,54604,43351,43620,137,2,34559,46264,6016,587886,,,9%,,,,,,,,,,
2015,848,33906,146730,209542,156726,28750,26656,9232,132,61366,143063,51394,868345,,,14%,,,,,,,,,,
2016,424,25250,50365,72119,73339,14375,13328,4616,66,30781,47214,25697,357574,,,16%,,,,,,,,,,
Sum of sardina,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,63617,73751,119359,59288,9768,9092,5106,13397,7353,25806,30053,52203,468793,,,,,,,,,,,,,
1992,146595,74961,56850,28429,4386,433,9683,3790,2612,2635,17757,24106,372237,,,,,,,,,,,,,
1993,29813,39127,16320,15301,4897,483,1307,1643,1348,2352,19001,32364,163956,,,,,,,,,,,,,
1994,66181,70518,38487,14539,3669,7748,3633,4831,2029,15032,23073,25069,274809,,,,,,,,,,,,,
1995,18016,11422,5826,1973,2505,399,813,488,4348,21699,7045,102654,177188,,,,,,,,,,,,,
1996,131060,124046,82096,36404,16992,14226,19707,12020,36290,48106,17929,58656,597532,,,,,,,,,,,,,
1997,101812,62481,121358,63435,38259,10434,6861,7536,10925,11096,6903,49,441149,,,,,,,,,,,,,
1998,32941,34264,34439,32097,22546,24688,15315,21332,20644,23327,31568,7003,300164,,,,,,,,,,,,,
1999,124293,153711,170646,94958,99699,38220,12524,55,10599,29191,10680,3480,748056,,,,,,,,,,,,,
2000,101321,247423,124912,69975,35506,20186,1782,29,13140,16619,18183,7001,656077,,,,,,,,,,,,,
2001,87537,64545,54586,27311,12456,1355,430,4,2557,14738,8402,4282,278203,,,,,,,,,,,,,
2002,90588,82651,45400,30718,12254,5180,2861,168,7606,12401,926,653,291406,,,,,,,,,,,,,
2003,15966,28930,59994,75497,20165,14463,6715,824,23675,7979,1662,1051,256921,,,,,,,,,,,,,
2004,124,88266,70207,79125,28340,2425,3496,444,8049,6077,4018,3168,293739,,,,,,,,,,,,,
2005,27,68297,33041,33825,36611,6350,2768,265,11585,15719,5257,535,214280,,,,,,,,,,,,,
2006,627,79265,112629,49063,46887,6376,2814,1059,16852,26330,17031,2094,361027,,,,,,,,,,,,,
2007,38,56543,94919,32250,14875,2170,3070,1264,8743,34626,19555,8177,276230,,,,,,,,,,,,,
2008,89,128406,234583,158391,82983,33683,9705,350,269,87098,26809,18193,780559,,,,,,,,,,,,,
2009,80,81654,322128,126167,35426,27577,67530,24559,1058,82721,41732,26008,836640,,,,,,,,,,,,,
2010,13,19830,83068,168832,71945,8043,13569,18015,1543,33188,62231,41454,521731,,,,,,,,,,,,,
2011,11,20308,290781,158702,46943,19015,15319,16879,837,39110,56141,13650,677696,,,,,,,,,,,,,
2012,17,12944,226101,161445,41704,12399,34975,10129,1097,35860,46648,42842,626161,,,,,,,,,,,,,
2013,15,10129,66877,22365,19221,10030,33334,3,13,13021,33985,23718,232711,,,,,,,,,,,,,
2014,33,15757,192286,114749,46367,42001,41596,38,1,32273,43425,5645,534171,,,,,,,,,,,,,
2015,406,33656,143024,155554,125596,25616,24988,9106,50,58054,123551,45194,744795,,,,,,,,,,,,,
2016,203,25125,48512,45125,61214,12808,12494,4553,25,29125,37458,22597,299239,,,,,,,,,,,,,
Total Sum of Total,1485428.884,2826123.14,4468091.113,3346485.467,1826805.614,657127.981,535750,229363.991,415800.018,1199461.545,1030176.987,776133.832,18796748.57,,,,,,,,,,,,,
Total Sum of sardina,1011423,1708010,2848429,1855518,941214,355400,352395,152781,193248,724183,711023,571846,11425470,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.680896279,0.604365031,0.637504681,0.55446767,0.515223948,0.54083833,0.657760149,0.666107175,0.464761885,0.603756747,0.690194995,0.736787879,0.607842891,,,,,,,,,,,,,
,59%,58%,68%,70%,40%,36%,24%,56%,50%,88%,71%,85%,63%,,,,,,,,,,,,,
,82%,70%,43%,32%,17%,46%,41%,53%,45%,78%,78%,65%,59%,,,,,,,,,,,,,
,46%,43%,52%,42%,14%,8%,14%,33%,32%,47%,56%,68%,44%,,,,,,,,,,,,,
,67%,49%,24%,19%,7%,29%,21%,25%,28%,36%,46%,46%,37%,,,,,,,,,,,,,
,32%,15%,24%,17%,17%,9%,20%,44%,40%,45%,41%,63%,41%,,,,,,,,,,,,,
,67%,55%,56%,58%,52%,63%,81%,69%,63%,66%,71%,80%,62%,,,,,,,,,,,,,
,64%,50%,59%,64%,62%,60%,84%,78%,67%,72%,52%,91%,60%,,,,,,,,,,,,,
,61%,60%,52%,53%,52%,43%,47%,58%,43%,48%,55%,58%,52%,,,,,,,,,,,,,
,64%,53%,48%,43%,39%,36%,46%,12%,40%,26%,25%,58%,46%,,,,,,,,,,,,,
,74%,70%,43%,49%,50%,78%,63%,67%,74%,89%,89%,84%,60%,,,,,,,,,,,,,
,86%,75%,50%,44%,92%,28%,57%,100%,81%,69%,55%,65%,66%,,,,,,,,,,,,,
,85%,54%,45%,44%,36%,54%,90%,75%,45%,51%,21%,50%,55%,,,,,,,,,,,,,
,61%,47%,39%,55%,41%,74%,55%,53%,44%,52%,37%,43%,48%,,,,,,,,,,,,,
,80%,48%,46%,51%,53%,39%,45%,47%,51%,32%,29%,33%,47%,,,,,,,,,,,,,
,68%,40%,26%,27%,51%,30%,26%,46%,41%,41%,47%,47%,35%,,,,,,,,,,,,,
,70%,74%,64%,41%,47%,36%,33%,68%,31%,34%,39%,33%,51%,,,,,,,,,,,,,
,90%,66%,36%,15%,16%,18%,40%,36%,31%,43%,48%,73%,33%,,,,,,,,,,,,,
,96%,87%,81%,65%,46%,43%,65%,92%,62%,65%,62%,66%,67%,,,,,,,,,,,,,
,96%,93%,85%,51%,36%,54%,59%,63%,84%,63%,53%,72%,66%,,,,,,,,,,,,,
,77%,97%,91%,68%,71%,83%,96%,91%,86%,89%,93%,97%,80%,,,,,,,,,,,,,
,100%,100%,93%,78%,79%,93%,95%,99%,99%,93%,96%,93%,88%,,,,,,,,,,,,,
,85%,100%,98%,85%,80%,85%,95%,99%,97%,84%,93%,98%,91%,,,,,,,,,,,,,
,83%,98%,76%,75%,85%,78%,98%,100%,100%,93%,94%,88%,85%,,,,,,,,,,,,,
,92%,96%,95%,81%,85%,97%,95%,28%,50%,93%,94%,94%,91%,,,,,,,,,,,,,
,48%,99%,97%,74%,80%,89%,94%,99%,38%,95%,86%,88%,86%,,,,,,,,,,,,,
,48%,100%,96%,63%,83%,89%,94%,99%,38%,95%,79%,88%,84%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
M,(All),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,IX,V,VI,VII,VIII,XIV,Grand Total,,,,,,,,,,,,,,,,,,,
Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,738810,,738810,,,,,,,,,,,,,,,,,,,
1992,,,,,634475,,634475,,,,,,,,,,,,,,,,,,,
